('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         450170 function calls (434968 primitive calls) in 2.204 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    50649    0.006    0.000    0.008    0.000 {built-in method builtins.isinstance}
    50164    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
43400/39480    0.005    0.000    0.006    0.000 {built-in method builtins.len}
    18254    0.005    0.000    0.007    0.000 sre_parse.py:164(__getitem__)
    15073    0.006    0.000    0.006    0.000 sre_parse.py:233(__next)
    11962    0.016    0.000    0.016    0.000 {method 'match' of 're.Pattern' objects}
    11207    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
     9462    0.003    0.000    0.006    0.000 sre_parse.py:254(get)
     8727    0.001    0.000    0.001    0.000 {built-in method builtins.min}
     7870    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     7671    0.002    0.000    0.002    0.000 sre_parse.py:160(__len__)
     7528    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     7387    0.002    0.000    0.003    0.000 sre_parse.py:249(match)
     6335    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
     5645    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     5624    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     5314    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
     4916    0.003    0.000    0.006    0.000 _markupbase.py:48(updatepos)
     4786    0.001    0.000    0.002    0.000 sre_parse.py:172(append)
     4573    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     4573    0.001    0.000    0.002    0.000 abc.py:117(__instancecheck__)
     4071    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     3820    0.002    0.000    0.002    0.000 sre_parse.py:111(__init__)
     3754    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     3691    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
 3315/151    0.010    0.000    0.024    0.000 sre_compile.py:71(_compile)
 3273/281    0.004    0.000    0.006    0.000 sre_parse.py:174(getwidth)
     2960    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
     2888    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
 2862/158    0.016    0.000    0.050    0.000 sre_parse.py:493(_parse)
     2824    0.000    0.000    0.000    0.000 element.py:1532(__bool__)
     2527    0.002    0.000    0.007    0.000 __init__.py:558(endData)
     2473    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     2465    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
     2441    0.000    0.000    0.001    0.000 {built-in method builtins.max}
     2312    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     2296    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     2251    0.001    0.000    0.002    0.000 css_parser.py:319(match)
     2199    0.001    0.000    0.002    0.000 element.py:2059(_normalize_search_value)
2190/1358    0.003    0.000    0.007    0.000 element.py:2192(_matches)
     2116    0.000    0.000    0.005    0.000 {built-in method builtins.next}
     2112    0.003    0.000    0.003    0.000 element.py:157(setup)
     1973    0.000    0.000    0.000    0.000 element.py:1906(descendants)
     1873    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
     1856    0.001    0.000    0.001    0.000 __init__.py:122(unescape)
     1789    0.001    0.000    0.014    0.000 element.py:2159(search)
     1668    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1622    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
     1435    0.001    0.000    0.001    0.000 element.py:1489(get)
     1434    0.000    0.000    0.000    0.000 ssl.py:1078(_checkClosed)
     1362    0.003    0.000    0.012    0.000 element.py:2096(search_tag)
     1355    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     1342    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     1262    0.001    0.000    0.001    0.000 __init__.py:205(can_be_empty_element)
     1262    0.001    0.000    0.001    0.000 __init__.py:453(set_up_substitutions)
     1262    0.008    0.000    0.020    0.000 element.py:1180(__init__)
     1262    0.004    0.000    0.004    0.000 __init__.py:544(pushTag)
     1261    0.015    0.000    0.076    0.000 parser.py:300(parse_starttag)
     1261    0.002    0.000    0.007    0.000 parser.py:351(check_for_whole_start_tag)
     1261    0.001    0.000    0.001    0.000 _markupbase.py:40(getpos)
     1261    0.005    0.000    0.038    0.000 _htmlparser.py:122(handle_starttag)
     1261    0.001    0.000    0.016    0.000 _htmlparser.py:177(handle_endtag)
     1261    0.001    0.000    0.001    0.000 element.py:1317(is_empty_element)
     1261    0.003    0.000    0.003    0.000 __init__.py:530(popTag)
     1261    0.004    0.000    0.007    0.000 __init__.py:660(_popToTag)
     1261    0.006    0.000    0.031    0.000 __init__.py:694(handle_starttag)
     1261    0.002    0.000    0.015    0.000 __init__.py:735(handle_endtag)
     1193    0.005    0.000    0.023    0.000 parser.py:385(parse_endtag)
     1193    0.000    0.000    0.000    0.000 parser.py:126(clear_cdata_mode)
     1129    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     1113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
     1068    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
     1068    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
      983    0.001    0.000    0.002    0.000 sre_parse.py:295(_class_escape)
      955    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      955    0.005    0.000    0.009    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
      952    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
  949/152    0.004    0.000    0.050    0.000 sre_parse.py:435(_parse_sub)
      901    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
      811    0.003    0.000    0.003    0.000 {method 'findall' of 're.Pattern' objects}
      753    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x8f2300}
      738    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      738    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      717    0.000    0.000    0.000    0.000 socket.py:729(readable)
      716    0.001    0.000    0.001    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      716    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      716    1.548    0.002    1.548    0.002 {method 'read' of '_ssl._SSLSocket' objects}
      716    0.001    0.000    1.549    0.002 ssl.py:1090(read)
      716    0.002    0.000    1.552    0.002 ssl.py:1230(recv_into)
      716    0.002    0.000    1.555    0.002 socket.py:690(readinto)
      700    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      669    0.001    0.000    0.001    0.000 sre_parse.py:355(_escape)
  638/608    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      628    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      620    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      620    0.001    0.000    0.001    0.000 sre_parse.py:432(_uniq)
  608/591    0.000    0.000    0.003    0.000 typing.py:269(inner)
      586    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
      566    0.000    0.000    0.000    0.000 typing.py:660(_is_dunder)
      566    0.000    0.000    0.001    0.000 typing.py:708(__setattr__)
      559    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      557    0.005    0.000    0.007    0.000 sre_compile.py:276(_optimize_charset)
      557    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
      528    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      501    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
      501    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
      496    0.000    0.000    0.003    0.000 enum.py:358(__call__)
      486    0.000    0.000    0.000    0.000 enum.py:670(__new__)
      472    0.002    0.000    0.003    0.000 css_types.py:40(__init__)
      462    0.000    0.000    0.000    0.000 css_types.py:72(__hash__)
      456    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      429    0.000    0.000    0.000    0.000 __init__.py:745(handle_data)
      427    0.000    0.000    0.001    0.000 _htmlparser.py:195(handle_data)
      425    0.001    0.000    0.001    0.000 {built-in method posix.stat}
      425    0.001    0.000    0.002    0.000 element.py:934(__new__)
      425    0.000    0.000    0.001    0.000 __init__.py:495(string_container)
      425    0.001    0.000    0.002    0.000 __init__.py:592(object_was_parsed)
      425    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      412    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
      407    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      406    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      405    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      404    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      363    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      363    0.000    0.000    0.001    0.000 enum.py:462(__setattr__)
      351    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      325    0.001    0.000    0.004    0.000 css_parser.py:1115(selector_iter)
      321    0.000    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
      316    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      311    0.000    0.000    0.000    0.000 css_parser.py:314(get_name)
      308    0.000    0.000    0.001    0.000 css_parser.py:250(css_unescape)
      303    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      303    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      303    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      303    0.001    0.000    0.001    0.000 enum.py:88(__setitem__)
